date,episode,rating,title
1986-10-14,The Cage,7.7,Star Trek
1966-09-08,The Man Trap,7.3,Star Trek
1966-09-15,Charlie X,7.2,Star Trek
1966-09-22,Where No Man Has Gone Before,7.8,Star Trek
1966-09-29,The Naked Time,8.0,Star Trek
1966-10-06,The Enemy Within,7.8,Star Trek
1966-10-13,Mudd's Women,7.0,Star Trek
1966-10-20,What Are Little Girls Made Of?,7.6,Star Trek
1966-10-27,Miri,7.1,Star Trek
1966-11-03,Dagger of the Mind,7.5,Star Trek
1966-11-10,The Corbomite Maneuver,8.2,Star Trek
1966-11-17,The Menagerie: Part I,8.4,Star Trek
1966-11-24,The Menagerie: Part II,8.3,Star Trek
1966-12-08,The Conscience of the King,7.3,Star Trek
1966-12-15,Balance of Terror,9.0,Star Trek
1966-12-29,Shore Leave,7.6,Star Trek
1967-01-05,The Galileo Seven,7.8,Star Trek
1967-01-12,The Squire of Gothos,7.5,Star Trek
1967-01-19,Arena,8.1,Star Trek
1967-01-26,Tomorrow Is Yesterday,8.0,Star Trek
1967-02-02,Court Martial,7.4,Star Trek
1967-02-09,The Return of the Archons,7.3,Star Trek
1967-02-16,Space Seed,8.9,Star Trek
1967-02-23,A Taste of Armageddon,8.1,Star Trek
1967-03-02,This Side of Paradise,8.0,Star Trek
1967-03-09,The Devil in the Dark,8.5,Star Trek
1967-03-23,Errand of Mercy,8.3,Star Trek
1967-03-30,The Alternative Factor,5.9,Star Trek
1967-04-06,The City on the Edge of Forever,9.3,Star Trek
1967-04-13,Operation - Annihilate!,7.6,Star Trek
1967-09-15,Amok Time,8.8,Star Trek
1967-09-22,Who Mourns for Adonais?,7.1,Star Trek
1967-09-29,The Changeling,7.8,Star Trek
1967-10-06,"Mirror, Mirror",9.2,Star Trek
1967-10-13,The Apple,6.4,Star Trek
1967-10-20,The Doomsday Machine,8.8,Star Trek
1967-10-27,Catspaw,6.2,Star Trek
1967-11-03,"I, Mudd",7.5,Star Trek
1967-11-10,Metamorphosis,7.4,Star Trek
1967-11-17,Journey to Babel,8.6,Star Trek
1967-12-01,Friday's Child,6.9,Star Trek
1967-12-08,The Deadly Years,7.4,Star Trek
1967-12-15,Obsession,7.3,Star Trek
1967-12-22,Wolf in the Fold,7.4,Star Trek
1967-12-29,The Trouble with Tribbles,8.9,Star Trek
1968-01-05,The Gamesters of Triskelion,7.0,Star Trek
1968-01-12,A Piece of the Action,8.0,Star Trek
1968-01-19,The Immunity Syndrome,7.6,Star Trek
1968-02-02,A Private Little War,7.0,Star Trek
1968-02-09,Return to Tomorrow,7.6,Star Trek
1968-02-16,Patterns of Force,7.6,Star Trek
1968-02-23,By Any Other Name,7.7,Star Trek
1968-03-01,The Omega Glory,6.2,Star Trek
1968-03-08,The Ultimate Computer,8.0,Star Trek
1968-03-15,Bread and Circuses,7.3,Star Trek
1968-03-29,Assignment: Earth,7.7,Star Trek
1968-09-20,Spock's Brain,5.5,Star Trek
1968-09-27,The Enterprise Incident,8.6,Star Trek
1968-10-04,The Paradise Syndrome,6.8,Star Trek
1968-10-11,And the Children Shall Lead,5.2,Star Trek
1968-10-18,Is There in Truth No Beauty?,7.0,Star Trek
1968-10-25,Spectre of the Gun,7.4,Star Trek
1968-11-01,Day of the Dove,8.0,Star Trek
1968-11-08,For the World Is Hollow and I Have Touched the Sky,7.2,Star Trek
1968-11-15,The Tholian Web,8.1,Star Trek
1968-11-22,Plato's Stepchildren,6.6,Star Trek
1968-11-29,Wink of an Eye,7.4,Star Trek
1968-12-06,The Empath,6.6,Star Trek
1968-12-20,Elaan of Troyius,7.2,Star Trek
1969-01-03,Whom Gods Destroy,7.0,Star Trek
1969-01-10,Let That Be Your Last Battlefield,7.2,Star Trek
1969-01-17,The Mark of Gideon,6.5,Star Trek
1969-01-24,That Which Survives,6.5,Star Trek
1969-01-31,The Lights of Zetar,6.1,Star Trek
1969-02-14,Requiem for Methuselah,7.6,Star Trek
1969-02-21,The Way to Eden,5.4,Star Trek
1969-02-28,The Cloud Minders,7.0,Star Trek
1969-03-07,The Savage Curtain,6.8,Star Trek
1969-03-14,All Our Yesterdays,8.3,Star Trek
1969-06-03,Turnabout Intruder,6.9,Star Trek
1987-09-26,Encounter at Farpoint,6.9,Star Trek: The Next Generation
1987-10-03,The Naked Now,6.5,Star Trek: The Next Generation
1987-10-10,Code of Honor,5.2,Star Trek: The Next Generation
1987-10-17,The Last Outpost,6.3,Star Trek: The Next Generation
1987-10-24,Where No One Has Gone Before,7.6,Star Trek: The Next Generation
1987-10-31,Lonely Among Us,6.3,Star Trek: The Next Generation
1987-11-07,Justice,6.0,Star Trek: The Next Generation
1987-11-14,The Battle,6.8,Star Trek: The Next Generation
1987-11-21,Hide and Q,7.0,Star Trek: The Next Generation
1987-11-28,Haven,6.3,Star Trek: The Next Generation
1988-01-09,The Big Goodbye,7.4,Star Trek: The Next Generation
1988-01-16,Datalore,7.7,Star Trek: The Next Generation
1988-01-23,Angel One,5.6,Star Trek: The Next Generation
1988-01-30,11001001,7.5,Star Trek: The Next Generation
1988-02-06,Too Short a Season,6.1,Star Trek: The Next Generation
1988-02-13,When the Bough Breaks,6.4,Star Trek: The Next Generation
1988-02-20,Home Soil,6.8,Star Trek: The Next Generation
1988-03-12,Coming of Age,7.2,Star Trek: The Next Generation
1988-03-19,Heart of Glory,7.3,Star Trek: The Next Generation
1988-04-09,The Arsenal of Freedom,7.2,Star Trek: The Next Generation
1988-04-16,Symbiosis,6.9,Star Trek: The Next Generation
1988-04-23,Skin of Evil,6.9,Star Trek: The Next Generation
1988-04-30,We'll Always Have Paris,6.6,Star Trek: The Next Generation
1988-05-07,Conspiracy,8.1,Star Trek: The Next Generation
1988-05-14,The Neutral Zone,7.4,Star Trek: The Next Generation
1988-11-19,The Child,5.8,Star Trek: The Next Generation
1988-11-26,Where Silence Has Lease,7.1,Star Trek: The Next Generation
1988-12-03,"Elementary, Dear Data",8.2,Star Trek: The Next Generation
1988-12-10,The Outrageous Okona,6.2,Star Trek: The Next Generation
1989-01-07,Loud as a Whisper,6.5,Star Trek: The Next Generation
1989-01-21,The Schizoid Man,7.0,Star Trek: The Next Generation
1989-01-28,Unnatural Selection,6.5,Star Trek: The Next Generation
1989-02-04,A Matter of Honor,8.1,Star Trek: The Next Generation
1989-02-11,The Measure of a Man,9.1,Star Trek: The Next Generation
1989-02-18,The Dauphin,6.2,Star Trek: The Next Generation
1989-03-18,Contagion,7.7,Star Trek: The Next Generation
1989-03-25,The Royale,6.6,Star Trek: The Next Generation
1989-04-01,Time Squared,7.6,Star Trek: The Next Generation
1989-04-22,The Icarus Factor,6.3,Star Trek: The Next Generation
1989-04-29,Pen Pals,6.8,Star Trek: The Next Generation
1989-05-06,Q Who,9.0,Star Trek: The Next Generation
1989-05-13,Samaritan Snare,6.5,Star Trek: The Next Generation
1989-05-20,Up the Long Ladder,6.3,Star Trek: The Next Generation
1989-06-17,Manhunt,6.0,Star Trek: The Next Generation
1989-06-24,The Emissary,7.6,Star Trek: The Next Generation
1989-07-08,Peak Performance,7.8,Star Trek: The Next Generation
1989-07-15,Shades of Gray,3.4,Star Trek: The Next Generation
1989-09-23,Evolution,6.6,Star Trek: The Next Generation
1989-09-30,The Ensigns of Command,7.4,Star Trek: The Next Generation
1989-10-07,The Survivors,7.7,Star Trek: The Next Generation
1989-10-14,Who Watches the Watchers,8.1,Star Trek: The Next Generation
1989-10-21,The Bonding,6.6,Star Trek: The Next Generation
1989-10-28,Booby Trap,7.5,Star Trek: The Next Generation
1989-11-04,The Enemy,7.8,Star Trek: The Next Generation
1989-11-11,The Price,6.3,Star Trek: The Next Generation
1989-11-18,The Vengeance Factor,6.5,Star Trek: The Next Generation
1990-01-01,The Defector,8.5,Star Trek: The Next Generation
1990-01-06,The Hunted,7.5,Star Trek: The Next Generation
1990-01-27,The High Ground,6.8,Star Trek: The Next Generation
1990-02-03,Déjà Q,8.6,Star Trek: The Next Generation
1990-02-10,A Matter of Perspective,6.8,Star Trek: The Next Generation
1990-02-17,Yesterday's Enterprise,9.2,Star Trek: The Next Generation
1990-03-10,The Offspring,8.5,Star Trek: The Next Generation
1990-03-17,Sins of the Father,8.3,Star Trek: The Next Generation
1990-03-24,Allegiance,7.4,Star Trek: The Next Generation
1990-03-31,Captain's Holiday,7.2,Star Trek: The Next Generation
1990-04-21,Tin Man,7.3,Star Trek: The Next Generation
1990-04-28,Hollow Pursuits,7.8,Star Trek: The Next Generation
1990-05-05,The Most Toys,7.7,Star Trek: The Next Generation
1990-05-12,Sarek,8.2,Star Trek: The Next Generation
1990-05-26,Ménage à Troi,6.6,Star Trek: The Next Generation
1990-06-02,Transfigurations,6.9,Star Trek: The Next Generation
1990-06-16,The Best of Both Worlds: Part 1,9.4,Star Trek: The Next Generation
1990-09-22,The Best of Both Worlds: Part 2,9.3,Star Trek: The Next Generation
